sample_index,time_s,V_raw,I_raw,T,V_corr_raw,V_corr_raw_ema50,V_corr_raw_ema200,V_corr_raw_ema800,I_raw_ema50,I_raw_ema200,absI_ema50,absI_ema200,SOC_fraction,profile,temperature_C,file_name,end_index,seed,SOC_true_window_endpoint,SOC_pred_window_endpoint,abs_error
33,33.35863000000245,3.9508348,0.17679724,25.0,3.9527018,3.9536657,3.9537284,3.9537446,-0.2833759,-0.08013945,0.29370698,0.08275431,0.8339650334564177,FUDS,25,NMC_25C_FUDS.csv,,,,,
34,34.359120000000985,3.9522917,0.17697784,25.0,3.952591,3.9536443,3.9537227,3.9537432,-0.27426028,-0.07885707,0.2913956,0.083224244,0.8339878206287328,FUDS,25,NMC_25C_FUDS.csv,,,,,
35,35.37471000000369,3.9498634,0.12694907,25.0,3.9524896,3.9536216,3.9537168,3.9537418,-0.2663158,-0.07783061,0.28813934,0.08344232,0.8340086851087533,FUDS,25,NMC_25C_FUDS.csv,,,,,
36,36.37477000000217,3.9537487,0.16686372,25.0,3.9523988,3.9535973,3.95371,3.9537401,-0.25773826,-0.07661019,0.28573793,0.08385839,0.834026854017758,FUDS,25,NMC_25C_FUDS.csv,,,,,
37,37.39034000000538,4.024655,1.1491976,25.0,3.9522989,3.9535716,3.953703,3.9537382,-0.22987907,-0.070496455,0.30283558,0.0891718,0.8340961024675123,FUDS,25,NMC_25C_FUDS.csv,,,,,
38,38.40598999999929,3.9968102,0.7191669,25.0,3.9522305,3.953545,3.9536958,3.9537363,-0.2110867,-0.06655799,0.31107947,0.09231391,0.8342252232864145,FUDS,25,NMC_25C_FUDS.csv,,,,,
39,39.40600999999879,3.933513,-0.1820734,25.0,3.9521859,3.9535182,3.9536881,3.9537344,-0.2105122,-0.06713413,0.308525,0.09276158,0.8342725223514054,FUDS,25,NMC_25C_FUDS.csv,,,,,
40,40.42159000000538,3.9127917,-0.4603923,25.0,3.9521377,3.9534907,3.9536805,3.9537325,-0.21546015,-0.06909551,0.31153217,0.09459515,0.8342341528869921,FUDS,25,NMC_25C_FUDS.csv,,,,,
41,41.43719000000419,3.911011,-0.47104824,25.0,3.9520817,3.9534628,3.9536724,3.9537303,-0.22052114,-0.07110026,0.3146908,0.09647272,0.834173354176102,FUDS,25,NMC_25C_FUDS.csv,,,,,
42,42.4528100000025,3.9003265,-0.6079501,25.0,3.9520204,3.9534342,3.9536643,3.9537282,-0.22819275,-0.07377781,0.32049772,0.09902372,0.8341040320084614,FUDS,25,NMC_25C_FUDS.csv,,,,,
43,43.4684200000047,3.856779,-1.2050444,25.0,3.9519608,3.9534051,3.9536557,3.953726,-0.2475357,-0.07942002,0.3380129,0.10454002,0.8339896969575769,FUDS,25,NMC_25C_FUDS.csv,,,,,
44,44.46846000000369,3.7965577,-2.0152576,25.0,3.951895,3.9533753,3.953647,3.9537237,-0.28253895,-0.08907505,0.37122458,0.11406977,0.833787228232622,FUDS,25,NMC_25C_FUDS.csv,,,,,
45,45.484040000003006,3.777455,-2.2330723,25.0,3.951802,3.953344,3.9536378,3.9537213,-0.3211621,-0.09976828,0.40809163,0.124638334,0.8335105293051502,FUDS,25,NMC_25C_FUDS.csv,,,,,
46,46.49969000000419,3.7871683,-2.0555334,25.0,3.9516823,3.9533112,3.953628,3.9537187,-0.35550493,-0.1095227,0.44071317,0.13426872,0.8332290044061099,FUDS,25,NMC_25C_FUDS.csv,,,,,
47,47.49971000000369,3.8941748,-0.54148585,25.0,3.9515338,3.953276,3.9536176,3.953716,-0.3591876,-0.111677125,0.4427086,0.13629971,0.8330587364884715,FUDS,25,NMC_25C_FUDS.csv,,,,,
48,48.51527999999962,3.930437,-0.05546629,25.0,3.9513903,3.9532387,3.9536064,3.9537132,-0.35317352,-0.111396775,0.43504068,0.13589656,0.8330192056196217,FUDS,25,NMC_25C_FUDS.csv,,,,,
49,49.530900000005204,3.922181,-0.19254874,25.0,3.9512627,3.9531996,3.9535947,3.95371,-0.34999293,-0.11180152,0.43023902,0.13617912,0.8330028434942851,FUDS,25,NMC_25C_FUDS.csv,49.0,1.0,0.83300287,0.8324007,0.0006021857
50,50.546500000004016,3.9781935,0.57756925,25.0,3.9511335,3.9531586,3.9535825,3.9537067,-0.33162597,-0.10836327,0.43315637,0.13838056,0.8330303226477965,FUDS,25,NMC_25C_FUDS.csv,50.0,1.0,0.83303034,0.8322567,0.0007736683
51,51.56210999999894,4.0163984,1.0731611,25.0,3.9510217,3.9531162,3.9535697,3.9537034,-0.30380934,-0.10247039,0.4458293,0.14304279,0.8331407724415243,FUDS,25,NMC_25C_FUDS.csv,51.0,1.0,0.8331408,0.8322668,0.0008739829
52,52.562150000005204,3.9947057,0.73397684,25.0,3.9509385,3.9530733,3.9535565,3.9537,-0.28325978,-0.098298594,0.45153502,0.14599009,0.8332551135196575,FUDS,25,NMC_25C_FUDS.csv,52.0,1.0,0.8332551,0.83232474,0.0009303689
53,53.577440000000934,3.9730132,0.4153821,25.0,3.9508684,3.9530294,3.9535432,3.9536965,-0.26942575,-0.0957366,0.45081913,0.14733368,0.8333271989489516,FUDS,25,NMC_25C_FUDS.csv,53.0,1.0,0.8333272,0.8325974,0.00072979927
54,54.593370000002324,3.9297895,-0.19724457,25.0,3.9508123,3.9529855,3.9535296,3.953693,-0.26799646,-0.096242875,0.445798,0.14758262,0.8333367530652079,FUDS,25,NMC_25C_FUDS.csv,54.0,1.0,0.8333368,0.8326017,0.0007350445
55,55.59338000000571,3.8153365,-1.7772145,25.0,3.9507675,3.9529417,3.9535158,3.9536893,-0.29788098,-0.10462675,0.47216183,0.15571044,0.8331937014203165,FUDS,25,NMC_25C_FUDS.csv,55.0,1.0,0.8331937,0.8323469,0.0008468032
56,56.608720000003814,3.7821498,-2.182321,25.0,3.9506922,3.952897,3.9535017,3.9536855,-0.3351954,-0.1149893,0.50602525,0.1658182,0.8329303347666874,FUDS,25,NMC_25C_FUDS.csv,56.0,1.0,0.8329303,0.8319771,0.0009531975
57,57.62458999999944,3.7855494,-2.0860565,25.0,3.950587,3.9528513,3.9534872,3.9536817,-0.3698648,-0.12482004,0.537312,0.17539543,0.8326523617715943,FUDS,25,NMC_25C_FUDS.csv,57.0,1.0,0.8326524,0.8316973,0.0009551048
58,58.62463000000571,3.7813404,-2.1062846,25.0,3.9504614,3.952804,3.9534721,3.9536777,-0.4042482,-0.13470264,0.5683797,0.18502578,0.8323821143182678,FUDS,25,NMC_25C_FUDS.csv,58.0,1.0,0.83238214,0.8315061,0.00087606907
59,59.62475999999879,3.8210025,-1.529238,25.0,3.9503157,3.9527547,3.9534564,3.9536734,-0.4265245,-0.1416579,0.587406,0.19173007,0.8321555634898238,FUDS,25,NMC_25C_FUDS.csv,59.0,1.0,0.8321556,0.8312962,0.00085937977
60,60.64010000000417,3.868273,-0.86080307,25.0,3.9501553,3.9527032,3.95344,3.953669,-0.43512377,-0.14524466,0.59281963,0.1950671,0.8320093823120196,FUDS,25,NMC_25C_FUDS.csv,60.0,1.0,0.8320094,0.831063,0.00094640255
61,61.64021000000503,3.8775005,-0.7388918,25.0,3.950001,3.9526498,3.9534228,3.9536643,-0.44113877,-0.14820549,0.595712,0.19777942,0.8319083048898223,FUDS,25,NMC_25C_FUDS.csv,61.0,1.0,0.8319083,0.8308131,0.0010951757
62,62.655800000000454,3.8927178,-0.5313717,25.0,3.949846,3.9525943,3.953405,3.9536595,-0.4429255,-0.15011653,0.594438,0.19944322,0.831828763754044,FUDS,25,NMC_25C_FUDS.csv,62.0,1.0,0.8318288,0.8307138,0.0011149645
63,63.67087000000174,3.9372363,0.07583665,25.0,3.949693,3.9525368,3.9533863,3.9536548,-0.43265334,-0.14898959,0.58416903,0.19882673,0.8318104089276024,FUDS,25,NMC_25C_FUDS.csv,63.0,1.0,0.8318104,0.8306418,0.0011686087
64,64.67103000000498,3.9173243,-0.22271048,25.0,3.9495597,3.952478,3.9533672,3.9536495,-0.42849618,-0.14935727,0.57701164,0.19894585,0.8317955443417189,FUDS,25,NMC_25C_FUDS.csv,64.0,1.0,0.8317956,0.83059233,0.001203239
65,65.67122000000381,3.8906133,-0.59783596,25.0,3.9494336,3.9524176,3.9533477,3.9536443,-0.43184933,-0.15159407,0.577424,0.20093532,0.8317347275490831,FUDS,25,NMC_25C_FUDS.csv,65.0,1.0,0.8317347,0.8306126,0.001122117
66,66.68705000000045,3.8951461,-0.5268565,25.0,3.9493008,3.9523559,3.9533274,3.9536388,-0.4337306,-0.1534657,0.5764227,0.20256086,0.8316625990017801,FUDS,25,NMC_25C_FUDS.csv,66.0,1.0,0.8316626,0.83068275,0.0009798408
67,67.70264000000316,3.9170005,-0.22794814,25.0,3.9491692,3.9522927,3.9533067,3.9536333,-0.42965585,-0.15383719,0.56952244,0.20268749,0.831620138890124,FUDS,25,NMC_25C_FUDS.csv,67.0,1.0,0.83162016,0.8306737,0.00094646215
68,68.71825000000536,3.91781,-0.22289109,25.0,3.9490423,3.9522285,3.9532855,3.9536276,-0.42556164,-0.15418158,0.56265867,0.20278825,0.8315907815532303,FUDS,25,NMC_25C_FUDS.csv,68.0,1.0,0.8315908,0.8307218,0.0008689761
69,69.71825000000536,3.9074495,-0.37460288,25.0,3.9489248,3.952163,3.9532638,3.9536216,-0.4245526,-0.15528095,0.5589349,0.20364518,0.8315483330324369,FUDS,25,NMC_25C_FUDS.csv,69.0,1.0,0.83154833,0.8307643,0.0007840395
70,70.71831999999995,3.8608263,-1.0173913,25.0,3.9488115,3.9520967,3.9532416,3.9536157,-0.43629158,-0.15958074,0.56801295,0.20770375,0.8314418570500566,FUDS,25,NMC_25C_FUDS.csv,70.0,1.0,0.8314419,0.83076984,0.00067204237
71,71.73379000000568,3.858236,-1.037439,25.0,3.9486878,3.9520292,3.9532187,3.9536095,-0.4481951,-0.16395907,0.57730824,0.21184207,0.831306935699855,FUDS,25,NMC_25C_FUDS.csv,71.0,1.0,0.83130693,0.8306333,0.0006736517
72,72.74947999999858,3.892394,-0.5516,25.0,3.9485536,3.9519603,3.9531956,3.9536033,-0.45024264,-0.16589244,0.57679915,0.21353662,0.831217179305015,FUDS,25,NMC_25C_FUDS.csv,72.0,1.0,0.83121717,0.8304381,0.0007790923
73,73.74951000000146,3.9343224,0.025266055,25.0,3.9484203,3.9518902,3.9531717,3.9535968,-0.44082695,-0.16493903,0.5658781,0.21259762,0.8312013058504473,FUDS,25,NMC_25C_FUDS.csv,73.0,1.0,0.8312013,0.8304593,0.0007420182
74,74.76489000000583,3.943226,0.1311031,25.0,3.9482956,3.951819,3.9531474,3.9535902,-0.42950195,-0.16346252,0.557269,0.21219116,0.8312145954699155,FUDS,25,NMC_25C_FUDS.csv,74.0,1.0,0.8312146,0.8303458,0.0008687973
75,75.76525000000402,3.8961174,-0.5315524,25.0,3.9481854,3.9517472,3.9531226,3.9535832,-0.4315227,-0.16529837,0.5567597,0.21378398,0.8311677391758774,FUDS,25,NMC_25C_FUDS.csv,75.0,1.0,0.83116776,0.83050424,0.0006635189
76,76.78072999999858,3.8692443,-0.8963831,25.0,3.948073,3.9516745,3.9530973,3.9535766,-0.44072756,-0.16894467,0.5634847,0.21718846,0.8310622544440699,FUDS,25,NMC_25C_FUDS.csv,76.0,1.0,0.83106226,0.8305155,0.0005467534
77,77.78072999999858,3.8462565,-1.1996261,25.0,3.9479563,3.9516008,3.9530718,3.9535694,-0.45575476,-0.17408521,0.57608116,0.2220884,0.8309169078083758,FUDS,25,NMC_25C_FUDS.csv,77.0,1.0,0.8309169,0.83030826,0.000608623
78,78.79633000000467,3.9022691,-0.41054413,25.0,3.9478245,3.951526,3.9530456,3.9535623,-0.45485952,-0.17526457,0.5728033,0.22302832,0.8308394159371121,FUDS,25,NMC_25C_FUDS.csv,78.0,1.0,0.8308394,0.8302692,0.00057017803
79,79.81195000000298,3.9341605,0.020208996,25.0,3.947697,3.95145,3.953019,3.9535549,-0.44545254,-0.17428964,0.5618612,0.22201675,0.8308299197751687,FUDS,25,NMC_25C_FUDS.csv,79.0,1.0,0.8308299,0.83006805,0.00076186657
80,80.82741000000533,3.8663304,-0.92636424,25.0,3.9475825,3.9513736,3.952992,3.9535475,-0.45497522,-0.17804062,0.56907886,0.2255297,0.8307382175063089,FUDS,25,NMC_25C_FUDS.csv,80.0,1.0,0.83073825,0.8299609,0.0007773638
81,81.84324000000197,3.8477135,-1.1694643,25.0,3.947462,3.951296,3.9529643,3.9535398,-0.46912307,-0.18298537,0.5809673,0.23023759,0.8305897297468395,FUDS,25,NMC_25C_FUDS.csv,81.0,1.0,0.8305897,0.82979894,0.0007907748
82,82.84324000000197,3.8279636,-1.4226785,25.0,3.9473343,3.9512177,3.9529362,3.9535322,-0.4880047,-0.18916836,0.5976343,0.23618492,0.8304123784212247,FUDS,25,NMC_25C_FUDS.csv,82.0,1.0,0.8304124,0.8296398,0.0007725954
83,83.84325000000536,3.7939675,-1.8684223,25.0,3.9471962,3.951138,3.9529076,3.953524,-0.51533884,-0.19754368,0.62279755,0.24432574,0.8301820665896713,FUDS,25,NMC_25C_FUDS.csv,83.0,1.0,0.8301821,0.82947683,0.00070524216
84,84.8587800000023,3.8263447,-1.3925167,25.0,3.9470365,3.9510567,3.9528782,3.953516,-0.5327081,-0.20350364,0.63803905,0.25005236,0.8299879789856739,FUDS,25,NMC_25C_FUDS.csv,84.0,1.0,0.829988,0.8294309,0.0005571246
85,85.85883000000467,3.8402667,-1.1895119,25.0,3.9468727,3.950974,3.9528484,3.953508,-0.54571366,-0.20842136,0.6489589,0.25473794,0.8298306775342532,FUDS,25,NMC_25C_FUDS.csv,85.0,1.0,0.8298307,0.8293096,0.0005211234
86,86.8744000000006,3.8606644,-0.90107894,25.0,3.946702,3.9508893,3.9528177,3.9534993,-0.5527504,-0.21187602,0.6539512,0.25796157,0.8297067257764539,FUDS,25,NMC_25C_FUDS.csv,86.0,1.0,0.8297067,0.8292048,0.0005019307
87,87.8900300000023,3.859855,-0.9110124,25.0,3.946532,3.950803,3.9527862,3.9534905,-0.55984443,-0.21536297,0.6590414,0.26121867,0.8295877413987472,FUDS,25,NMC_25C_FUDS.csv,87.0,1.0,0.82958776,0.82895285,0.0006349087
88,88.90552000000025,3.858398,-0.92672545,25.0,3.9463606,3.950715,3.9527543,3.9534817,-0.56710917,-0.2189109,0.66434187,0.2645379,0.8294668204197109,FUDS,25,NMC_25C_FUDS.csv,88.0,1.0,0.8294668,0.82889396,0.00057286024
89,89.9212600000028,3.8888326,-0.5113241,25.0,3.946191,3.9506254,3.9527216,3.9534726,-0.5660046,-0.22036932,0.6613119,0.26576877,0.8293940631840183,FUDS,25,NMC_25C_FUDS.csv,89.0,1.0,0.82939404,0.8287647,0.00062936544
90,90.9369399999996,3.9145722,-0.16184516,25.0,3.9460244,3.9505343,3.9526882,3.9534633,-0.5580017,-0.22007743,0.65142184,0.26525044,0.8293683147781161,FUDS,25,NMC_25C_FUDS.csv,90.0,1.0,0.8293683,0.8287063,0.0006619692
91,91.95240000000194,3.9034023,-0.32926995,25.0,3.9458685,3.950442,3.9526541,3.9534538,-0.55347246,-0.22062203,0.6450428,0.26556975,0.8293269349348581,FUDS,25,NMC_25C_FUDS.csv,91.0,1.0,0.8293269,0.82874835,0.0005785823
92,92.95246000000043,3.9040499,-0.32908934,25.0,3.9457211,3.9503486,3.9526196,3.9534442,-0.5490294,-0.22116302,0.6387865,0.26588655,0.8292845267502666,FUDS,25,NMC_25C_FUDS.csv,92.0,1.0,0.82928455,0.82877314,0.00051140785
93,93.968120000005,3.8792813,-0.6733306,25.0,3.9455764,3.950254,3.9525845,3.9534342,-0.5514907,-0.2234182,0.6394705,0.26791868,0.8291992217103148,FUDS,25,NMC_25C_FUDS.csv,93.0,1.0,0.8291992,0.82867754,0.00052165985
94,94.968120000005,3.8488467,-1.0838555,25.0,3.945432,3.9501586,3.9525487,3.9534242,-0.5620323,-0.22770967,0.64826995,0.27198818,0.8290625408671646,FUDS,25,NMC_25C_FUDS.csv,94.0,1.0,0.8290625,0.82861376,0.00044876337
95,95.98374000000331,3.9325416,0.07583665,25.0,3.9452765,3.9500618,3.9525125,3.9534142,-0.5494016,-0.22619572,0.636935,0.27100986,0.829065444610073,FUDS,25,NMC_25C_FUDS.csv,95.0,1.0,0.82906544,0.82836294,0.00070250034
96,96.99938000000111,3.9388552,0.14212026,25.0,3.9451349,3.9499643,3.9524758,3.9534037,-0.53570855,-0.22435874,0.627137,0.27036703,0.8290837604912162,FUDS,25,NMC_25C_FUDS.csv,96.0,1.0,0.82908374,0.8282688,0.0008149147
97,97.9993900000045,3.9352937,0.07583665,25.0,3.945007,3.9498663,3.9524384,3.9533932,-0.52359915,-0.2228615,0.61622053,0.2693968,0.8290936549152,FUDS,25,NMC_25C_FUDS.csv,97.0,1.0,0.82909364,0.8282801,0.0008135438
98,98.9993900000045,3.8656828,-0.8864496,25.0,3.9448872,3.9497676,3.9524007,3.9533827,-0.5307841,-0.22617117,0.6215714,0.27247438,0.8289814447012546,FUDS,25,NMC_25C_FUDS.csv,98.0,1.0,0.82898146,0.82829344,0.0006880164
99,100.01453000000038,3.8404286,-1.2149779,25.0,3.944756,3.9496684,3.9523625,3.953372,-0.544332,-0.23110285,0.63332164,0.27717513,0.8288256342984038,FUDS,25,NMC_25C_FUDS.csv,99.0,1.0,0.82882565,0.8282426,0.00058305264
100,101.01473999999871,3.8700538,-0.7746524,25.0,3.9446065,3.949568,3.952324,3.953361,-0.5488927,-0.23381382,0.6361202,0.2796563,0.8286846458270621,FUDS,25,NMC_25C_FUDS.csv,100.0,1.0,0.8286846,0.8281909,0.0004937053
101,102.0306400000045,3.8762054,-0.6935589,25.0,3.9444578,3.949467,3.9522848,3.9533498,-0.5517573,-0.23610681,0.6372576,0.28172064,0.8285834742870603,FUDS,25,NMC_25C_FUDS.csv,101.0,1.0,0.8285835,0.8281638,0.0004196763
102,103.04616000000533,3.9004884,-0.3438993,25.0,3.9442992,3.9493647,3.952245,3.9533386,-0.5476414,-0.23664443,0.6314487,0.28203076,0.8284941768903809,FUDS,25,NMC_25C_FUDS.csv,102.0,1.0,0.8284942,0.8280469,0.00044727325
103,104.04621000000043,3.9356174,0.14193965,25.0,3.9441411,3.9492612,3.9522045,3.953327,-0.53398675,-0.23475623,0.6217557,0.28133208,0.8284518414964067,FUDS,25,NMC_25C_FUDS.csv,103.0,1.0,0.8284518,0.8279836,0.00046819448
104,105.06180000000313,3.9429023,0.21255788,25.0,3.9439995,3.949157,3.9521635,3.9533155,-0.5192042,-0.23252524,0.61365306,0.28098905,0.8284708537565774,FUDS,25,NMC_25C_FUDS.csv,104.0,1.0,0.8284708,0.8280193,0.00045150518
105,106.07708999999886,3.8836522,-0.65779823,25.0,3.9438965,3.9490528,3.9521222,3.9533036,-0.5219485,-0.2346463,0.6145272,0.2828684,0.8284929607770726,FUDS,25,NMC_25C_FUDS.csv,105.0,1.0,0.82849294,0.82812715,0.0003657937
106,107.07710000000225,3.8647115,-0.90107894,25.0,3.9437866,3.9489486,3.9520807,3.9532917,-0.52945584,-0.23797014,0.62020135,0.28595173,0.8284074841923538,FUDS,25,NMC_25C_FUDS.csv,106.0,1.0,0.82840747,0.8280933,0.00031417608
107,108.09302000000025,3.839781,-1.2353867,25.0,3.943672,3.948844,3.9520388,3.9532797,-0.5434342,-0.24294478,0.6323828,0.29068705,0.8282841170776659,FUDS,25,NMC_25C_FUDS.csv,107.0,1.0,0.82828414,0.827976,0.000308156
