temperature_C,condition,bin_key,n_samples,SOC_IQR_fraction,SOC_range_fraction
0.0,A_raw_VI_bins,"(3, 3)",56,0.053928027364806286,0.11716499812869147
0.0,A_raw_VI_bins,"(3, 7)",69,0.037557760652449396,0.1578228139957409
0.0,A_raw_VI_bins,"(3, 9)",52,0.029393837479054302,0.06589952010120448
0.0,A_raw_VI_bins,"(3, 10)",73,0.041248939185293404,0.09605399389371348
0.0,A_raw_VI_bins,"(4, 1)",59,0.09276341578182123,0.14744949164056054
0.0,A_raw_VI_bins,"(4, 2)",72,0.07419021081659694,0.2462654496969181
0.0,A_raw_VI_bins,"(4, 3)",82,0.06415045809440661,0.17699109647660521
0.0,A_raw_VI_bins,"(4, 4)",61,0.029728642082799794,0.08599205438525143
0.0,A_raw_VI_bins,"(4, 7)",59,0.03335534140567964,0.08708543024371249
0.0,A_raw_VI_bins,"(4, 10)",53,0.018389953584303398,0.12101476628926208
0.0,A_raw_VI_bins,"(4, 12)",57,0.027194391123742195,0.0689366063341946
0.0,A_raw_VI_bins,"(4, 17)",52,0.00454254753684917,0.0425948706126808
0.0,A_raw_VI_bins,"(5, 1)",60,0.07504132922802365,0.18951186305827
0.0,A_raw_VI_bins,"(5, 2)",72,0.08819535772983639,0.2301349049555772
0.0,A_raw_VI_bins,"(5, 3)",64,0.03460055543306928,0.16375289651014546
0.0,A_raw_VI_bins,"(5, 5)",54,0.039008309561474,0.1166633438576341
0.0,A_raw_VI_bins,"(5, 7)",66,0.04498274978474914,0.1291807670868465
0.0,A_raw_VI_bins,"(5, 10)",59,0.028751567684325796,0.08359899562706671
0.0,A_raw_VI_bins,"(5, 16)",70,0.006619093386713182,0.03794987906011571
0.0,A_raw_VI_bins,"(5, 17)",76,0.0064707518952384635,0.0429284292875147
0.0,A_raw_VI_bins,"(6, 3)",68,0.07419654514205032,0.17662172162165035
0.0,A_raw_VI_bins,"(6, 4)",59,0.03771295102589062,0.1339892704873707
0.0,A_raw_VI_bins,"(6, 5)",53,0.057341719711764494,0.1738164569205506
0.0,A_raw_VI_bins,"(6, 7)",56,0.030800548390904015,0.19536491442354773
0.0,A_raw_VI_bins,"(6, 10)",57,0.03674124422579561,0.09448021918272981
0.0,A_raw_VI_bins,"(6, 16)",69,0.006425535905502822,0.054939756047409985
0.0,A_raw_VI_bins,"(6, 17)",69,0.0060538359862852,0.060574419839478394
0.0,A_raw_VI_bins,"(7, 3)",51,0.06845758715489925,0.14281589742739492
0.0,A_raw_VI_bins,"(7, 4)",60,0.05206965135253799,0.16591517207627976
0.0,A_raw_VI_bins,"(7, 7)",80,0.033744025142079526,0.15682304955567966
0.0,A_raw_VI_bins,"(7, 16)",67,0.020905368908516686,0.05065391168135569
0.0,A_raw_VI_bins,"(7, 17)",50,0.014176913698444815,0.02823316974046372
0.0,A_raw_VI_bins,"(8, 7)",89,0.04499397399926347,0.166640303207302
0.0,A_raw_VI_bins,"(8, 16)",51,0.019715465589064174,0.031121803051567393
0.0,A_raw_VI_bins,"(8, 23)",50,0.014320494332895256,0.03783376721087231
0.0,A_raw_VI_bins,"(8, 27)",56,0.006378869962790121,0.030347083000089106
0.0,A_raw_VI_bins,"(9, 7)",62,0.056573846911200265,0.1098477712077146
0.0,A_raw_VI_bins,"(9, 9)",63,0.05224853592417461,0.07512112523088277
0.0,A_raw_VI_bins,"(9, 16)",68,0.007140615929771665,0.030978700262029313
0.0,A_raw_VI_bins,"(9, 27)",66,0.010513081785023345,0.017431511650883705
0.0,A_raw_VI_bins,"(9, 28)",67,0.01051276690489178,0.022836125785793998
0.0,A_raw_VI_bins,"(10, 7)",67,0.07679188713800011,0.17650568258013394
0.0,A_raw_VI_bins,"(10, 9)",55,0.059083015515383086,0.08930247547544412
0.0,A_raw_VI_bins,"(10, 10)",63,0.04182409042199242,0.10717725017496932
0.0,A_raw_VI_bins,"(10, 12)",51,0.023903682499627044,0.1351837838113833
0.0,A_raw_VI_bins,"(10, 16)",60,0.005489010516366771,0.03016232901243371
0.0,A_raw_VI_bins,"(10, 17)",71,0.006776942132389829,0.0803292212643267
0.0,A_raw_VI_bins,"(10, 27)",68,0.0036348344800116172,0.031516078544523596
0.0,A_raw_VI_bins,"(11, 7)",55,0.056867759699632425,0.13833331426772705
0.0,A_raw_VI_bins,"(11, 9)",60,0.039254868022601974,0.08931906394536554
0.0,A_raw_VI_bins,"(11, 10)",51,0.03559617476692323,0.12267853555176789
0.0,A_raw_VI_bins,"(11, 16)",69,0.005533215568160943,0.027396030262609117
0.0,A_raw_VI_bins,"(11, 17)",65,0.022382280286368017,0.06489813113214557
0.0,A_raw_VI_bins,"(12, 7)",53,0.029455753408935137,0.10000351332971619
0.0,A_raw_VI_bins,"(12, 12)",53,0.03664723253757263,0.06751737160314991
0.0,A_raw_VI_bins,"(12, 16)",50,0.01964301618804648,0.030902491829971734
0.0,A_raw_VI_bins,"(12, 22)",54,0.0014369072521677462,0.03791249946697209
0.0,A_raw_VI_bins,"(12, 23)",58,0.0013431254529674697,0.050179831343849596
0.0,A_raw_VI_bins,"(12, 27)",91,0.0028760646350990404,0.02136036325850041
0.0,A_raw_VI_bins,"(12, 28)",62,0.002876100906101464,0.0193041156580471
0.0,A_raw_VI_bins,"(13, 9)",52,0.043093370588073276,0.06217882263828306
0.0,A_raw_VI_bins,"(13, 10)",60,0.041963915777683214,0.10996313792336193
0.0,A_raw_VI_bins,"(13, 14)",70,0.04394924114240106,0.1093898546239166
0.0,A_raw_VI_bins,"(13, 16)",69,0.004329784626243727,0.0279144712319237
0.0,A_raw_VI_bins,"(13, 17)",53,0.006730194257456912,0.11699190918464458
0.0,A_raw_VI_bins,"(13, 27)",52,0.013866794605045585,0.024521654597093517
0.0,A_raw_VI_bins,"(14, 12)",63,0.04571666429101712,0.1465695723957422
0.0,A_raw_VI_bins,"(14, 16)",76,0.00588930567022089,0.03038634297543802
0.0,A_raw_VI_bins,"(14, 17)",60,0.006937124578282439,0.09261219139057619
0.0,A_raw_VI_bins,"(14, 27)",56,0.01742667631438158,0.05670403659935569
0.0,A_raw_VI_bins,"(15, 16)",84,0.0068425643475665265,0.031210686405378607
0.0,A_raw_VI_bins,"(15, 17)",70,0.0070295679376323195,0.05359502984753073
0.0,A_raw_VI_bins,"(15, 23)",50,0.0010868771976029201,0.06672745622353482
0.0,A_raw_VI_bins,"(15, 27)",51,0.0032520001570999213,0.007544909041313497
0.0,A_raw_VI_bins,"(16, 16)",78,0.006549579013960138,0.030681966791969995
0.0,A_raw_VI_bins,"(16, 17)",66,0.006583046387544478,0.07735681818936341
0.0,A_raw_VI_bins,"(16, 27)",110,0.025048732409598096,0.03344363893272359
0.0,A_raw_VI_bins,"(16, 28)",63,0.017737066547617558,0.033443441767273874
0.0,A_raw_VI_bins,"(17, 16)",80,0.006770005602098006,0.03795327391966141
0.0,A_raw_VI_bins,"(17, 17)",80,0.008221535648428646,0.04474858268821802
0.0,A_raw_VI_bins,"(17, 27)",95,0.023315916975851336,0.051303808997114425
0.0,A_raw_VI_bins,"(17, 28)",66,0.019430943426300806,0.046741414313133695
0.0,A_raw_VI_bins,"(18, 16)",74,0.006545509354335177,0.030542601642880418
0.0,A_raw_VI_bins,"(18, 17)",71,0.006842740388146529,0.08139890910235442
0.0,A_raw_VI_bins,"(18, 27)",82,0.008739481980019281,0.03137372483044143
0.0,A_raw_VI_bins,"(18, 28)",64,0.013110469266268632,0.052790519922960605
0.0,A_raw_VI_bins,"(19, 16)",70,0.006269233526852547,0.02761861676901667
0.0,A_raw_VI_bins,"(19, 17)",59,0.0063601314492020555,0.041086071842057426
0.0,A_raw_VI_bins,"(19, 22)",51,0.0012127035639195038,0.037738593163191114
0.0,A_raw_VI_bins,"(19, 25)",53,0.017634501718517936,0.07180202500485822
0.0,A_raw_VI_bins,"(19, 27)",73,0.0032524104312965374,0.0235005161837476
0.0,A_raw_VI_bins,"(19, 28)",51,0.004255049067730221,0.02350059590023651
0.0,A_raw_VI_bins,"(20, 16)",72,0.02154932348978933,0.051195679821129936
0.0,A_raw_VI_bins,"(20, 17)",61,0.02119787182450361,0.038662377024402395
0.0,A_raw_VI_bins,"(20, 27)",114,0.006804829221972397,0.042370331626638336
0.0,A_raw_VI_bins,"(20, 28)",83,0.015025876072372157,0.04237037148488271
0.0,A_raw_VI_bins,"(20, 29)",56,0.021717435670352336,0.10474467011454519
0.0,A_raw_VI_bins,"(21, 22)",71,0.0017104626216019048,0.03786956044588463
0.0,A_raw_VI_bins,"(21, 23)",77,0.0020731261453462158,0.058129696917809726
0.0,A_raw_VI_bins,"(21, 27)",107,0.01720986992082202,0.0661629665296179
0.0,A_raw_VI_bins,"(21, 28)",56,0.013910885486496771,0.04460674583942853
0.0,A_raw_VI_bins,"(22, 16)",69,0.0062049550659589725,0.027389077921880167
0.0,A_raw_VI_bins,"(22, 17)",61,0.006054890901156518,0.026873094346200332
0.0,A_raw_VI_bins,"(22, 27)",133,0.01891515841084357,0.042610061918271325
0.0,A_raw_VI_bins,"(22, 28)",85,0.01891462324748061,0.042609927994569696
0.0,A_raw_VI_bins,"(23, 16)",54,0.004901520718594954,0.02530365045939209
0.0,A_raw_VI_bins,"(23, 27)",80,0.013889187226351352,0.04850508529966008
0.0,A_raw_VI_bins,"(23, 28)",65,0.006205867949528487,0.03386835766429491
0.0,A_raw_VI_bins,"(23, 29)",53,0.029952653252636185,0.0737997026820088
0.0,A_raw_VI_bins,"(24, 22)",61,0.001398399936426209,0.03785506373663511
0.0,A_raw_VI_bins,"(24, 23)",68,0.0016608571762594115,0.0488968598206343
0.0,A_raw_VI_bins,"(24, 27)",99,0.010937775631809976,0.03447259807232789
0.0,A_raw_VI_bins,"(24, 28)",108,0.012753886914889101,0.0344725885063491
0.0,A_raw_VI_bins,"(25, 27)",111,0.0059565429445554985,0.04077075795968982
0.0,A_raw_VI_bins,"(25, 28)",94,0.01577765402384551,0.040770771245771276
0.0,A_raw_VI_bins,"(25, 33)",56,0.06420712951937779,0.2040511409630112
0.0,A_raw_VI_bins,"(26, 27)",84,0.008119254313410984,0.029371089140262874
0.0,A_raw_VI_bins,"(26, 28)",54,0.010937514958890837,0.029372939625694816
0.0,A_raw_VI_bins,"(26, 31)",64,0.020192467403031933,0.11170450728896941
0.0,A_raw_VI_bins,"(26, 33)",60,0.04335440803742452,0.2011725716358272
0.0,A_raw_VI_bins,"(27, 17)",70,0.005935436140946271,0.04157861611274993
0.0,A_raw_VI_bins,"(27, 21)",55,0.001027643063273631,0.05654635472686287
0.0,A_raw_VI_bins,"(27, 22)",68,0.001671373508351448,0.003470361689589585
0.0,A_raw_VI_bins,"(27, 23)",86,0.0019536825454443685,0.05139670195437185
0.0,A_raw_VI_bins,"(27, 25)",53,0.017646915170187683,0.019846501334889743
0.0,A_raw_VI_bins,"(27, 27)",66,0.007476922793842378,0.026878981581587524
0.0,A_raw_VI_bins,"(28, 16)",51,0.01772709374911985,0.024406621003322138
0.0,A_raw_VI_bins,"(28, 27)",99,0.01564024791109464,0.03258792865868432
0.0,A_raw_VI_bins,"(28, 28)",96,0.014642399628596592,0.028365253628349407
0.0,A_raw_VI_bins,"(28, 29)",56,0.006882450516108696,0.06491148474984543
0.0,A_raw_VI_bins,"(28, 33)",57,0.07317852270615649,0.1604139059070785
0.0,A_raw_VI_bins,"(29, 16)",62,0.00438438138668551,0.011836432367142491
0.0,A_raw_VI_bins,"(29, 27)",91,0.01715046943857168,0.03032913895436251
0.0,A_raw_VI_bins,"(29, 28)",64,0.01715026257428276,0.049230611366469
0.0,A_raw_VI_bins,"(29, 33)",61,0.05120585633506963,0.17379426288017025
0.0,A_raw_VI_bins,"(29, 34)",53,0.18081675562063199,0.37015906219530226
0.0,A_raw_VI_bins,"(30, 16)",58,0.004957822481875929,0.023934906119766675
0.0,A_raw_VI_bins,"(30, 17)",53,0.0032840142990891996,0.03351812584120728
0.0,A_raw_VI_bins,"(30, 25)",55,0.00022670519167355963,0.01786938901062407
0.0,A_raw_VI_bins,"(30, 27)",101,0.008142658796859603,0.021733124074416632
0.0,A_raw_VI_bins,"(30, 28)",51,0.010471895420904653,0.021733102285243056
0.0,A_raw_VI_bins,"(31, 22)",67,0.0013529394827911378,0.026529938775926798
0.0,A_raw_VI_bins,"(31, 23)",62,0.0018564646998455725,0.03793324276030119
0.0,A_raw_VI_bins,"(31, 27)",58,0.0032518881554327583,0.01768670924601312
0.0,A_raw_VI_bins,"(31, 34)",59,0.2002861882917929,0.3721367675673435
0.0,A_raw_VI_bins,"(32, 16)",62,0.0036242337782115275,0.01190447145340534
0.0,A_raw_VI_bins,"(32, 17)",52,0.005423246804422077,0.02145541077978297
0.0,A_raw_VI_bins,"(32, 27)",113,0.00925816422457404,0.02017984718012178
0.0,A_raw_VI_bins,"(32, 28)",86,0.00825128225179772,0.020179771183735484
0.0,A_raw_VI_bins,"(32, 34)",59,0.1714915140923255,0.38194410572947257
0.0,A_raw_VI_bins,"(33, 12)",51,0.01047314568407709,0.033484245313391225
0.0,A_raw_VI_bins,"(33, 16)",74,0.005635993107425463,0.02672274639069716
0.0,A_raw_VI_bins,"(33, 25)",65,0.0002858426033296446,0.007365549555337636
0.0,A_raw_VI_bins,"(33, 27)",77,0.01951386059851723,0.031047797587774206
0.0,A_raw_VI_bins,"(33, 28)",56,0.0067989891888964316,0.03104766313262941
0.0,A_raw_VI_bins,"(33, 34)",65,0.2112560223731288,0.3769086579878075
0.0,A_raw_VI_bins,"(34, 22)",80,0.0019111955168493733,0.0040052492334747836
0.0,A_raw_VI_bins,"(34, 23)",71,0.0016985354405151254,0.023885543543994303
0.0,A_raw_VI_bins,"(34, 27)",66,0.0069579940862950496,0.023346649313419454
0.0,A_raw_VI_bins,"(34, 28)",61,0.008928575733336608,0.023346561625281703
0.0,A_raw_VI_bins,"(34, 34)",67,0.1983239082519419,0.34277713324815723
0.0,A_raw_VI_bins,"(35, 14)",52,0.023008714113380346,0.07197253635604517
0.0,A_raw_VI_bins,"(35, 16)",61,0.005698350932376917,0.012216237327520196
0.0,A_raw_VI_bins,"(35, 17)",68,0.006723961889484653,0.03489721911138799
0.0,A_raw_VI_bins,"(35, 27)",88,0.005492430662370151,0.015745969732356868
0.0,A_raw_VI_bins,"(35, 28)",56,0.007935774687804487,0.015745848031850307
0.0,A_raw_VI_bins,"(35, 34)",61,0.1634806215601982,0.2858946156814374
0.0,A_raw_VI_bins,"(36, 16)",91,0.005951294009245767,0.013407326562607569
0.0,A_raw_VI_bins,"(36, 17)",59,0.006023438760414779,0.034976564517058883
0.0,A_raw_VI_bins,"(36, 18)",61,0.019592482085419194,0.0649202339002366
0.0,A_raw_VI_bins,"(36, 25)",69,0.0002943802393033934,0.02196109821664427
0.0,A_raw_VI_bins,"(36, 27)",78,0.003706731971022892,0.016350413058666913
0.0,A_raw_VI_bins,"(36, 33)",53,0.033410283385042594,0.07493214246340141
0.0,A_raw_VI_bins,"(36, 34)",57,0.13690379460831803,0.2557514602148934
0.0,A_raw_VI_bins,"(37, 16)",63,0.004468931352153649,0.009131160841206687
0.0,A_raw_VI_bins,"(37, 21)",51,0.001093509343767618,0.031712329423079
0.0,A_raw_VI_bins,"(37, 22)",80,0.0016926948790864094,0.003548722998293785
0.0,A_raw_VI_bins,"(37, 23)",73,0.002048763191972558,0.03769681171857264
0.0,A_raw_VI_bins,"(37, 27)",106,0.011533136443786063,0.019487425547872417
0.0,A_raw_VI_bins,"(37, 28)",100,0.013149641052934147,0.0194876503483713
0.0,A_raw_VI_bins,"(37, 29)",58,0.014900858602509781,0.07289029219230803
0.0,A_raw_VI_bins,"(38, 16)",79,0.014252802036621715,0.028271655841377807
0.0,A_raw_VI_bins,"(38, 17)",75,0.021907986840114857,0.02871723912838986
0.0,A_raw_VI_bins,"(38, 27)",129,0.006224575555630385,0.04278896808314625
0.0,A_raw_VI_bins,"(38, 28)",117,0.015382421182911221,0.04278896967747614
0.0,A_raw_VI_bins,"(38, 29)",58,0.013801139812616547,0.05547491046886055
0.0,A_raw_VI_bins,"(38, 30)",56,0.0173466525880851,0.06624543815644701
0.0,A_raw_VI_bins,"(38, 31)",53,0.0327736785710091,0.07130978728387849
0.0,A_raw_VI_bins,"(38, 34)",62,0.08068185237487968,0.1732207690790485
0.0,A_raw_VI_bins,"(39, 24)",54,0.005999852511365811,0.026077097568311225
0.0,A_raw_VI_bins,"(39, 25)",83,0.017501578458905653,0.022427806280197693
0.0,A_raw_VI_bins,"(39, 27)",136,0.02811224301528381,0.04358481609982534
0.0,A_raw_VI_bins,"(39, 28)",80,0.02486060330957529,0.04383199736191634
0.0,A_raw_VI_bins,"(39, 31)",62,0.03364932979191504,0.05670782366402738
0.0,A_raw_VI_bins,"(39, 32)",74,0.022089708290392807,0.09026953068863453
0.0,A_raw_VI_bins,"(39, 33)",125,0.03582892776144564,0.10507802378823217
0.0,A_raw_VI_bins,"(39, 34)",198,0.08863689862458801,0.22364961334090727
0.0,B_raw_plus_absI_mean_past200_tertile,"(0, 0, 0)",50,0.1360385704294011,0.28208869810309667
0.0,B_raw_plus_absI_mean_past200_tertile,"(0, 0, 1)",119,0.1419314776982309,0.3518700433676686
0.0,B_raw_plus_absI_mean_past200_tertile,"(0, 0, 2)",75,0.10686877517381577,0.332161621527574
0.0,B_raw_plus_absI_mean_past200_tertile,"(0, 1, 1)",86,0.08192052305674385,0.13375866667084402
0.0,B_raw_plus_absI_mean_past200_tertile,"(0, 1, 2)",61,0.058894653689205184,0.14480265336396098
0.0,B_raw_plus_absI_mean_past200_tertile,"(1, 0, 1)",76,0.19082913379663258,0.3607759282542249
0.0,B_raw_plus_absI_mean_past200_tertile,"(1, 0, 2)",51,0.1596447092813537,0.289169069223229
0.0,B_raw_plus_absI_mean_past200_tertile,"(1, 1, 1)",61,0.05601290154833649,0.21864243165077218
0.0,B_raw_plus_absI_mean_past200_tertile,"(2, 0, 1)",52,0.21067874735630182,0.34276383189075094
0.0,B_raw_plus_absI_mean_past200_tertile,"(2, 1, 1)",83,0.058974841834116,0.2077382831842945
0.0,B_raw_plus_absI_mean_past200_tertile,"(2, 1, 2)",75,0.09013437467486274,0.18068337784726207
0.0,B_raw_plus_absI_mean_past200_tertile,"(3, 1, 1)",51,0.10908228001997555,0.19920409308862003
0.0,B_raw_plus_absI_mean_past200_tertile,"(11, 16, 0)",54,0.004676126331722652,0.008215827947815002
0.0,B_raw_plus_absI_mean_past200_tertile,"(12, 22, 0)",50,0.001212175840762414,0.03778743279879579
0.0,B_raw_plus_absI_mean_past200_tertile,"(12, 23, 0)",52,0.0012431584513838967,0.002447905778256293
0.0,B_raw_plus_absI_mean_past200_tertile,"(12, 27, 2)",53,0.0050819961894238985,0.01772887580814131
0.0,B_raw_plus_absI_mean_past200_tertile,"(14, 16, 0)",54,0.004527815663956991,0.00799300176049722
0.0,B_raw_plus_absI_mean_past200_tertile,"(15, 16, 0)",53,0.004567106459924808,0.00822168870408757
0.0,B_raw_plus_absI_mean_past200_tertile,"(16, 16, 0)",51,0.005351968970071175,0.008153486996187065
0.0,B_raw_plus_absI_mean_past200_tertile,"(16, 27, 0)",54,0.01773734595391155,0.022507555947697017
0.0,B_raw_plus_absI_mean_past200_tertile,"(17, 16, 0)",52,0.0046414723781993406,0.03398534528912811
0.0,B_raw_plus_absI_mean_past200_tertile,"(18, 16, 0)",52,0.004416145883203326,0.008224459649245897
0.0,B_raw_plus_absI_mean_past200_tertile,"(18, 27, 2)",53,0.003251734966912889,0.012488720510176854
0.0,B_raw_plus_absI_mean_past200_tertile,"(19, 22, 0)",51,0.0012127035639195038,0.037738593163191114
0.0,B_raw_plus_absI_mean_past200_tertile,"(20, 27, 0)",50,0.0062319013619294705,0.03752919610866162
0.0,B_raw_plus_absI_mean_past200_tertile,"(21, 22, 0)",69,0.001648137878993372,0.037745276062187194
0.0,B_raw_plus_absI_mean_past200_tertile,"(21, 23, 0)",60,0.001647376586523197,0.03776726877862058
0.0,B_raw_plus_absI_mean_past200_tertile,"(22, 27, 2)",91,0.005806725369425947,0.0313189789939845
0.0,B_raw_plus_absI_mean_past200_tertile,"(22, 28, 2)",56,0.015196746642481052,0.03131896092491382
0.0,B_raw_plus_absI_mean_past200_tertile,"(24, 22, 0)",59,0.001373309437229575,0.0027682762501956004
0.0,B_raw_plus_absI_mean_past200_tertile,"(24, 23, 0)",56,0.001485832450137392,0.0028466566908570967
0.0,B_raw_plus_absI_mean_past200_tertile,"(24, 28, 0)",59,0.009262204917451111,0.0344725885063491
0.0,B_raw_plus_absI_mean_past200_tertile,"(25, 27, 2)",63,0.004731042023005394,0.04077075795968982
0.0,B_raw_plus_absI_mean_past200_tertile,"(26, 27, 2)",55,0.007179842689917004,0.028372382408240582
0.0,B_raw_plus_absI_mean_past200_tertile,"(27, 17, 0)",53,0.004795593049406244,0.00800445170553643
0.0,B_raw_plus_absI_mean_past200_tertile,"(27, 22, 0)",55,0.0014978507737432034,0.0029944632846905517
0.0,B_raw_plus_absI_mean_past200_tertile,"(27, 23, 0)",69,0.001523112663391335,0.0030423208131505897
0.0,B_raw_plus_absI_mean_past200_tertile,"(28, 27, 0)",52,0.014383188720643814,0.02030519604466907
0.0,B_raw_plus_absI_mean_past200_tertile,"(28, 28, 0)",58,0.01438347078415414,0.02030505042921571
0.0,B_raw_plus_absI_mean_past200_tertile,"(30, 16, 0)",51,0.00452901632714231,0.008148912864047286
0.0,B_raw_plus_absI_mean_past200_tertile,"(30, 27, 2)",76,1.5090331371148125e-06,0.014983630319017616
0.0,B_raw_plus_absI_mean_past200_tertile,"(31, 22, 0)",66,0.001338075679109596,0.0029204433359782955
0.0,B_raw_plus_absI_mean_past200_tertile,"(31, 23, 0)",56,0.0017187577865881432,0.015439184982870668
0.0,B_raw_plus_absI_mean_past200_tertile,"(31, 27, 2)",50,0.0032519240278526818,0.01768670924601312
0.0,B_raw_plus_absI_mean_past200_tertile,"(32, 27, 0)",50,0.0065804455011392315,0.020179663300753603
0.0,B_raw_plus_absI_mean_past200_tertile,"(32, 28, 0)",53,0.01050652271230701,0.020179771183735484
0.0,B_raw_plus_absI_mean_past200_tertile,"(33, 16, 0)",60,0.004757835865826454,0.008079647206739926
0.0,B_raw_plus_absI_mean_past200_tertile,"(33, 25, 1)",62,0.0002733039967721673,0.0005377647776957373
0.0,B_raw_plus_absI_mean_past200_tertile,"(34, 22, 0)",67,0.0016736134088319865,0.0030404060230843077
0.0,B_raw_plus_absI_mean_past200_tertile,"(34, 23, 0)",56,0.0013179264064847596,0.0027987635556987467
0.0,B_raw_plus_absI_mean_past200_tertile,"(35, 27, 2)",57,0.003248261985208223,0.008765627258136122
0.0,B_raw_plus_absI_mean_past200_tertile,"(36, 16, 0)",62,0.004667166995521943,0.008160395227125417
0.0,B_raw_plus_absI_mean_past200_tertile,"(36, 25, 1)",66,0.0002807121829571102,0.012504279481454939
0.0,B_raw_plus_absI_mean_past200_tertile,"(37, 16, 0)",58,0.00424441623815508,0.008087659245329504
0.0,B_raw_plus_absI_mean_past200_tertile,"(37, 22, 0)",70,0.0014233741824096757,0.0030739342469218167
0.0,B_raw_plus_absI_mean_past200_tertile,"(37, 23, 0)",55,0.0016367267293120324,0.0030473030937141488
0.0,B_raw_plus_absI_mean_past200_tertile,"(38, 16, 0)",59,0.005250013706390777,0.009661643783352325
0.0,B_raw_plus_absI_mean_past200_tertile,"(38, 17, 0)",53,0.005996848794059706,0.009361556906321677
0.0,B_raw_plus_absI_mean_past200_tertile,"(38, 27, 2)",69,0.0004002143713881523,0.01613272902328533
0.0,B_raw_plus_absI_mean_past200_tertile,"(39, 25, 1)",67,0.00030298297707642696,0.022410915419061372
0.0,B_raw_plus_absI_mean_past200_tertile,"(39, 27, 0)",58,0.00952100555884261,0.03928761049685359
0.0,B_raw_plus_absI_mean_past200_tertile,"(39, 27, 2)",53,0.00325213886379061,0.028294333056730014
0.0,B_raw_plus_absI_mean_past200_tertile,"(39, 33, 1)",54,0.04635292612150077,0.10467811109776193
0.0,B_raw_plus_absI_mean_past200_tertile,"(39, 34, 1)",50,0.04654682968187196,0.21270477018113199
0.0,B_raw_plus_absI_mean_past200_tertile,"(39, 34, 2)",140,0.09864878846020242,0.21744762266545314
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 0, 0)",244,0.12995170091063074,0.3518700433676686
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 1, 0)",156,0.07249906917657695,0.15002172803807778
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 2, 0)",60,0.051600255923117774,0.13102506376876022
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 3, 0)",79,0.06780494086563155,0.11598721198129092
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 4, 0)",84,0.037236333179678366,0.1078543896248305
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 7, 0)",95,0.0402320574463642,0.096450956499744
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 0, 0)",171,0.18948848001829255,0.3607759282542249
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 1, 0)",116,0.0738735355425219,0.21864243165077218
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 2, 0)",81,0.03304177565939159,0.1262335565481859
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 3, 0)",81,0.056580243269230696,0.14151303761000789
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 4, 0)",58,0.028886057597045656,0.1013480471471351
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 7, 0)",73,0.02402214306235831,0.1132605710288179
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 0, 0)",119,0.20715609444361527,0.34598146254933254
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 1, 0)",171,0.0897203432207277,0.24368506641017418
