profile,temperature_C,signal_name,n_samples,duration_s,sampling_interval_median_s,detrend_type,low_frequency_energy_fraction,mid_frequency_energy_fraction,high_frequency_energy_fraction,spectral_centroid_cycles_per_sample,median_frequency_cycles_per_sample,frequency_at_90_percent_cumulative_power,voltage_column_used,current_column_used,soc_column_used
US06,0.0,Voltage,9482,9577.044880000001,1.0155400000003283,constant,0.08970095488467332,0.1697885219466381,0.7405105231686886,0.08007533631580185,0.03515625,0.248046875,Voltage(V),Current(A),SOC_CC
US06,0.0,Voltage,9482,9577.044880000001,1.0155400000003283,linear,0.09461710110109567,0.16887270522446324,0.7365101936744411,0.0796503671066806,0.03515625,0.24609375,Voltage(V),Current(A),SOC_CC
US06,0.0,Current,9482,9577.044880000001,1.0155400000003283,constant,0.05418609384205918,0.15497825399956475,0.790835652158376,0.09566079621736745,0.0419921875,0.3251953125,Voltage(V),Current(A),SOC_CC
US06,0.0,Current,9482,9577.044880000001,1.0155400000003283,linear,0.057849867180298234,0.15437766232574154,0.7877724704939603,0.09529471045095025,0.0419921875,0.3232421875,Voltage(V),Current(A),SOC_CC
US06,0.0,Reference SOC,9482,9577.044880000001,1.0155400000003283,constant,0.9959538084207741,0.002886949539047974,0.0011592420401781408,0.0011200789857675054,0.0009765625,0.0009765625,Voltage(V),Current(A),SOC_CC
US06,0.0,Reference SOC,9482,9577.044880000001,1.0155400000003283,linear,0.8980658320437999,0.07222744529201647,0.029706722664183755,0.0034045276137106536,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
FUDS,0.0,Voltage,9707,9803.739889999997,1.0154900000015914,constant,0.1498148407173174,0.2770598529452011,0.5731253063374816,0.0506511729030344,0.0244140625,0.109375,Voltage(V),Current(A),SOC_CC
FUDS,0.0,Voltage,9707,9803.739889999997,1.0154900000015914,linear,0.13844012746034481,0.28072201586846207,0.5808378566711933,0.051318530923627266,0.025390625,0.111328125,Voltage(V),Current(A),SOC_CC
FUDS,0.0,Current,9707,9803.739889999997,1.0154900000015914,constant,0.10240068139369687,0.26577405130642384,0.6318252672998793,0.05850216025294702,0.0283203125,0.1328125,Voltage(V),Current(A),SOC_CC
FUDS,0.0,Current,9707,9803.739889999997,1.0154900000015914,linear,0.09943112166840162,0.2666598226825188,0.6339090556490794,0.05869176809446122,0.0283203125,0.1337890625,Voltage(V),Current(A),SOC_CC
FUDS,0.0,Reference SOC,9707,9803.739889999997,1.0154900000015914,constant,0.9883272233280458,0.009983872386322258,0.0016889042856321932,0.0012379432064053752,0.0009765625,0.001953125,Voltage(V),Current(A),SOC_CC
FUDS,0.0,Reference SOC,9707,9803.739889999997,1.0154900000015914,linear,0.8983368453573399,0.08673830034340348,0.014924854299256274,0.0028751101899309474,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
BJDST,25.0,Voltage,11205,11228.44263,1.0029199999989942,constant,0.36314262259456986,0.4025658267361522,0.2342915506692776,0.020398695066634408,0.005859375,0.041015625,Voltage(V),Current(A),SOC_CC
BJDST,25.0,Voltage,11205,11228.44263,1.0029199999989942,linear,0.3388323200465346,0.4179321547701448,0.24323552518332064,0.02113912970027249,0.0068359375,0.0419921875,Voltage(V),Current(A),SOC_CC
BJDST,25.0,Current,11205,11228.44263,1.0029199999989942,constant,0.2833704337804638,0.4223175029885836,0.29431206323095244,0.025258650976651257,0.009765625,0.052734375,Voltage(V),Current(A),SOC_CC
BJDST,25.0,Current,11205,11228.44263,1.0029199999989942,linear,0.28263338258295645,0.42276297455092343,0.29460364286612034,0.025283383928491148,0.009765625,0.052734375,Voltage(V),Current(A),SOC_CC
BJDST,25.0,Reference SOC,11205,11228.44263,1.0029199999989942,constant,0.9920359446158703,0.00767904493753919,0.0002850104465907548,0.0011475017930279252,0.0009765625,0.0009765625,Voltage(V),Current(A),SOC_CC
BJDST,25.0,Reference SOC,11205,11228.44263,1.0029199999989942,linear,0.8729759186347166,0.12244302909854844,0.004581052266734964,0.002847784624657553,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
DST,25.0,Voltage,10621,10710.21157,1.0155400000003283,constant,0.20450861104356122,0.4001052692546736,0.39538611970176507,0.032379008567508326,0.0107421875,0.0732421875,Voltage(V),Current(A),SOC_CC
DST,25.0,Voltage,10621,10710.21157,1.0155400000003283,linear,0.19469969053973574,0.4050924134156602,0.4002078960446042,0.03276044901267364,0.01171875,0.07421875,Voltage(V),Current(A),SOC_CC
DST,25.0,Current,10621,10710.21157,1.0155400000003283,constant,0.15836824838188995,0.3864021196186682,0.4552296319994417,0.037436614735308515,0.0185546875,0.076171875,Voltage(V),Current(A),SOC_CC
DST,25.0,Current,10621,10710.21157,1.0155400000003283,linear,0.15818077036590117,0.38650221983991495,0.4553170097941839,0.03744305988323288,0.0185546875,0.076171875,Voltage(V),Current(A),SOC_CC
DST,25.0,Reference SOC,10621,10710.21157,1.0155400000003283,constant,0.9777680428839403,0.020991119915857514,0.0012408372002024328,0.0013102648927737855,0.0009765625,0.001953125,Voltage(V),Current(A),SOC_CC
DST,25.0,Reference SOC,10621,10710.21157,1.0155400000003283,linear,0.7039614912252475,0.2794951384606998,0.01654337031405288,0.004765176735006784,0.0029296875,0.0087890625,Voltage(V),Current(A),SOC_CC
US06,25.0,Voltage,10680,10776.86876,1.0154099999999744,constant,0.0906922934949362,0.17036876821523872,0.738938938289825,0.08796675106674134,0.03515625,0.2998046875,Voltage(V),Current(A),SOC_CC
US06,25.0,Voltage,10680,10776.86876,1.0154099999999744,linear,0.08570223919590812,0.1713023965960221,0.7429953642080699,0.08844564516548742,0.03515625,0.30078125,Voltage(V),Current(A),SOC_CC
US06,25.0,Current,10680,10776.86876,1.0154099999999744,constant,0.05466614591989307,0.1572925889091947,0.7880412651709122,0.09673429057508111,0.041015625,0.328125,Voltage(V),Current(A),SOC_CC
US06,25.0,Current,10680,10776.86876,1.0154099999999744,linear,0.05807966150455522,0.1567236546962289,0.7851966837992157,0.09638925012644284,0.0400390625,0.3271484375,Voltage(V),Current(A),SOC_CC
US06,25.0,Reference SOC,10680,10776.86876,1.0154099999999744,constant,0.9960615681117149,0.002827537850003785,0.001110894038281512,0.0011202374445025414,0.0009765625,0.0009765625,Voltage(V),Current(A),SOC_CC
US06,25.0,Reference SOC,10680,10776.86876,1.0154099999999744,linear,0.8983411398980231,0.07250209083596978,0.02915676926600725,0.0033844977768713513,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
FUDS,25.0,Voltage,11092,11200.294979999999,1.0155400000003283,constant,0.14753994214249297,0.27388026939037197,0.5785797884671351,0.05230549685247609,0.025390625,0.1142578125,Voltage(V),Current(A),SOC_CC
FUDS,25.0,Voltage,11092,11200.294979999999,1.0155400000003283,linear,0.13564626070050012,0.2776382643892695,0.5867154749102304,0.053026271815542585,0.025390625,0.115234375,Voltage(V),Current(A),SOC_CC
FUDS,25.0,Current,11092,11200.294979999999,1.0155400000003283,constant,0.10477159710794992,0.26296713154478524,0.6322612713472647,0.05848025895176752,0.0283203125,0.1318359375,Voltage(V),Current(A),SOC_CC
FUDS,25.0,Current,11092,11200.294979999999,1.0155400000003283,linear,0.1026402904232634,0.26359838286627996,0.6337613267104566,0.05861664445347084,0.0283203125,0.1328125,Voltage(V),Current(A),SOC_CC
FUDS,25.0,Reference SOC,11092,11200.294979999999,1.0155400000003283,constant,0.9885061183196199,0.009831625631395084,0.001662256048985398,0.0012397369806528393,0.0009765625,0.001953125,Voltage(V),Current(A),SOC_CC
FUDS,25.0,Reference SOC,11092,11200.294979999999,1.0155400000003283,linear,0.8957728772532352,0.08892498882129905,0.015302133925465658,0.002935844113372395,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
BJDST,45.0,Voltage,11390,11501.530030000002,1.0155500000000757,constant,0.37391874408736636,0.3877221115912754,0.238359144321358,0.020509017812874952,0.005859375,0.0419921875,Voltage(V),Current(A),SOC_CC
BJDST,45.0,Voltage,11390,11501.530030000002,1.0155500000000757,linear,0.34371303320346125,0.4064941317955718,0.24979283500096702,0.02145117814391258,0.0068359375,0.0439453125,Voltage(V),Current(A),SOC_CC
BJDST,45.0,Current,11390,11501.530030000002,1.0155500000000757,constant,0.2767734446548304,0.42562922098685696,0.2975973343583126,0.02537618293667854,0.009765625,0.052734375,Voltage(V),Current(A),SOC_CC
BJDST,45.0,Current,11390,11501.530030000002,1.0155500000000757,linear,0.2757861933113226,0.42622451767386316,0.2979892890148142,0.025408913071500925,0.009765625,0.052734375,Voltage(V),Current(A),SOC_CC
BJDST,45.0,Reference SOC,11390,11501.530030000002,1.0155500000000757,constant,0.9918411524748659,0.00786408361991818,0.0002947639052162804,0.0011464255112476826,0.0009765625,0.0009765625,Voltage(V),Current(A),SOC_CC
BJDST,45.0,Reference SOC,11390,11501.530030000002,1.0155500000000757,linear,0.8720975176758404,0.12327317454031254,0.0046293077838469405,0.0028253419488178046,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
DST,45.0,Voltage,11304,11400.47451,1.0155400000003283,constant,0.2317428508077065,0.37992940104493683,0.3883277481473565,0.03204154476471599,0.0107421875,0.0732421875,Voltage(V),Current(A),SOC_CC
DST,45.0,Voltage,11304,11400.47451,1.0155400000003283,linear,0.20051254073196034,0.3953342249083517,0.4041532343596879,0.033305799592867516,0.01171875,0.0751953125,Voltage(V),Current(A),SOC_CC
DST,45.0,Current,11304,11400.47451,1.0155400000003283,constant,0.16004757457951188,0.38642863757526935,0.45352378784521874,0.037567408515190796,0.017578125,0.0771484375,Voltage(V),Current(A),SOC_CC
DST,45.0,Current,11304,11400.47451,1.0155400000003283,linear,0.1598958784314835,0.3865137276913317,0.4535903938771848,0.03757225932301107,0.017578125,0.0771484375,Voltage(V),Current(A),SOC_CC
DST,45.0,Reference SOC,11304,11400.47451,1.0155400000003283,constant,0.9776912105713401,0.021066374605948478,0.0012424148227114262,0.0013102788238629278,0.0009765625,0.001953125,Voltage(V),Current(A),SOC_CC
DST,45.0,Reference SOC,11304,11400.47451,1.0155400000003283,linear,0.7036091492810073,0.27980883511916194,0.016582015599830663,0.004767894703200348,0.0029296875,0.0087890625,Voltage(V),Current(A),SOC_CC
US06,45.0,Voltage,10884,10993.0851,1.0155699999995704,constant,0.122643712973532,0.161632575850698,0.7157237111757702,0.08574124521225537,0.03515625,0.291015625,Voltage(V),Current(A),SOC_CC
US06,45.0,Voltage,10884,10993.0851,1.0155699999995704,linear,0.08451163693489373,0.16864168183566483,0.7468466812294413,0.08942490469225375,0.0361328125,0.3056640625,Voltage(V),Current(A),SOC_CC
US06,45.0,Current,10884,10993.0851,1.0155699999995704,constant,0.053857842101503496,0.15888789740758338,0.7872542604909132,0.09703842377346153,0.0419921875,0.328125,Voltage(V),Current(A),SOC_CC
US06,45.0,Current,10884,10993.0851,1.0155699999995704,linear,0.05755339323889418,0.15826666341934556,0.7841799433417602,0.09666396101338015,0.041015625,0.328125,Voltage(V),Current(A),SOC_CC
US06,45.0,Reference SOC,10884,10993.0851,1.0155699999995704,constant,0.9960358500896047,0.0028482517037917913,0.0011158982066035033,0.0011205425360603114,0.0009765625,0.0009765625,Voltage(V),Current(A),SOC_CC
US06,45.0,Reference SOC,10884,10993.0851,1.0155699999995704,linear,0.8965394901140337,0.07383061434035558,0.029629895545610765,0.003402769096590068,0.001953125,0.0078125,Voltage(V),Current(A),SOC_CC
FUDS,45.0,Voltage,11626,11745.96403,1.015559999999823,constant,0.13995778275661364,0.26802670042942367,0.5920155168139627,0.05427602779067686,0.025390625,0.123046875,Voltage(V),Current(A),SOC_CC
FUDS,45.0,Voltage,11626,11745.96403,1.015559999999823,linear,0.13031821283107206,0.27098949172414,0.5986922954447879,0.0548773927321639,0.0263671875,0.1240234375,Voltage(V),Current(A),SOC_CC
FUDS,45.0,Current,11626,11745.96403,1.015559999999823,constant,0.10202334636051069,0.2603986450539724,0.6375780085855168,0.05943968938600999,0.0283203125,0.134765625,Voltage(V),Current(A),SOC_CC
FUDS,45.0,Current,11626,11745.96403,1.015559999999823,linear,0.09969601447796865,0.2610819335247572,0.6392220519972741,0.059590423397712707,0.029296875,0.134765625,Voltage(V),Current(A),SOC_CC
FUDS,45.0,Reference SOC,11626,11745.96403,1.015559999999823,constant,0.988408511714248,0.009926114277880541,0.0016653740078714063,0.0012379302302475631,0.0009765625,0.001953125,Voltage(V),Current(A),SOC_CC
FUDS,45.0,Reference SOC,11626,11745.96403,1.015559999999823,linear,0.896941984377465,0.0879689894485928,0.01508902617394258,0.002902307491073767,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
